true_class,predicted_class,predicted_probability
CLEAR,CLEAR,0.5515154
CLEAR,FLOODED,0.5105135
FLOODED,CLEAR,0.5034672
FLOODED,FLOODED,0.53323084
CLEAR,CLEAR,0.5906547
CLEAR,CLEAR,0.568429
CLEAR,CLEAR,0.58063465
FLOODED,FLOODED,0.5292607
CLEAR,CLEAR,0.505686
CLEAR,CLEAR,0.5064893
CLEAR,CLEAR,0.5062189
FLOODED,CLEAR,0.535187
CLEAR,CLEAR,0.54332983
FLOODED,CLEAR,0.5830226
CLEAR,FLOODED,0.51432765
CLEAR,CLEAR,0.51728004
CLEAR,CLEAR,0.540269
CLEAR,CLEAR,0.6112951
CLEAR,CLEAR,0.537298
FLOODED,CLEAR,0.5192688
FLOODED,CLEAR,0.5207378
CLEAR,FLOODED,0.5295968
CLEAR,FLOODED,0.5000813
FLOODED,CLEAR,0.5663801
CLEAR,CLEAR,0.5462132
CLEAR,CLEAR,0.5672401
FLOODED,CLEAR,0.5194746
CLEAR,CLEAR,0.5508206
CLEAR,CLEAR,0.524199
FLOODED,CLEAR,0.5893776
CLEAR,FLOODED,0.71882826
CLEAR,CLEAR,0.5759117
FLOODED,FLOODED,0.55329996
FLOODED,CLEAR,0.5390334
CLEAR,CLEAR,0.56795895
CLEAR,CLEAR,0.50044346
FLOODED,CLEAR,0.50315607
CLEAR,CLEAR,0.5528984
FLOODED,FLOODED,0.63880855
CLEAR,CLEAR,0.57288593
FLOODED,FLOODED,0.6564306
CLEAR,CLEAR,0.54406506
CLEAR,CLEAR,0.55624276
FLOODED,FLOODED,0.6515225
CLEAR,CLEAR,0.5679166
CLEAR,CLEAR,0.51609707
CLEAR,CLEAR,0.52720904
CLEAR,CLEAR,0.5506119
FLOODED,CLEAR,0.5574884
FLOODED,CLEAR,0.5626706
CLEAR,CLEAR,0.51966417
FLOODED,FLOODED,0.50282943
CLEAR,CLEAR,0.50182897
CLEAR,CLEAR,0.55481327
FLOODED,FLOODED,0.62652963
